category_main,category_sub,count_sub_category,count_sub_category(%)
Car&Motorbike,CarAccessories,1,0.07%
Computers&Accessories,Accessories&Peripherals,381,26.02%
Computers&Accessories,Components,5,0.34%
Computers&Accessories,ExternalDevices&DataStorage,18,1.23%
Computers&Accessories,Laptops,1,0.07%
Computers&Accessories,Monitors,2,0.14%
Computers&Accessories,NetworkingDevices,34,2.32%
Computers&Accessories,"Printers,Inks&Accessories",11,0.75%
Computers&Accessories,Tablets,1,0.07%
Electronics,Accessories,14,0.96%
Electronics,Cameras&Photography,16,1.09%
Electronics,GeneralPurposeBatteries&BatteryChargers,14,0.96%
Electronics,"Headphones,Earbuds&Accessories",66,4.51%
Electronics,HomeAudio,16,1.09%
Electronics,"HomeTheater,TV&Video",162,11.07%
Electronics,Mobiles&Accessories,161,11.00%
Electronics,PowerAccessories,1,0.07%
Electronics,WearableTechnology,76,5.19%
Health&PersonalCare,HomeMedicalSupplies&Equipment,1,0.07%
Home&Kitchen,CraftMaterials,7,0.48%
Home&Kitchen,"Heating,Cooling&AirQuality",116,7.92%
Home&Kitchen,HomeStorage&Organization,16,1.09%
Home&Kitchen,Kitchen&Dining,1,0.07%
Home&Kitchen,Kitchen&HomeAppliances,307,20.97%
HomeImprovement,Electrical,2,0.14%
MusicalInstruments,Microphones,2,0.14%
OfficeProducts,OfficeElectronics,4,0.27%
OfficeProducts,OfficePaperProducts,27,1.84%
Toys&Games,Arts&Crafts,1,0.07%
