"category_sub","category_main","most_popular_sub_category"
"Accessories&Peripherals","Computers&Accessories","5,079,479"
"Headphones,Earbuds&Accessories","Electronics","4,844,658"
"Mobiles&Accessories","Electronics","4,384,197"
"HomeTheater,TV&Video","Electronics","2,895,009"
"Kitchen&HomeAppliances","Home&Kitchen","2,051,164"
"WearableTechnology","Electronics","1,644,476"
"NetworkingDevices","Computers&Accessories","1,401,750"
"Accessories","Electronics","1,183,177"
"ExternalDevices&DataStorage","Computers&Accessories","1,037,012"
"Heating,Cooling&AirQuality","Home&Kitchen","551,371"
"Cameras&Photography","Electronics","322,657"
"HomeAudio","Electronics","293,704"
"Kitchen&Dining","Home&Kitchen","270,563"
"GeneralPurposeBatteries&BatteryChargers","Electronics","190,302"
"Components","Computers&Accessories","125,025"
"OfficePaperProducts","OfficeProducts","118,700"
"Microphones","MusicalInstruments","88,882"
"Printers,Inks&Accessories","Computers&Accessories","77,579"
"CraftMaterials","Home&Kitchen","63,214"
"HomeStorage&Organization","Home&Kitchen","53,765"
"OfficeElectronics","OfficeProducts","30,975"
"PowerAccessories","Electronics","20,668"
"Arts&Crafts","Toys&Games","15,867"
"Electrical","HomeImprovement","8,566"
"Monitors","Computers&Accessories","4,637"
"HomeMedicalSupplies&Equipment","Health&PersonalCare","3,663"
"Tablets","Computers&Accessories","2,886"
"CarAccessories","Car&Motorbike","1,118"
"Laptops","Computers&Accessories","323"
