"discount_percentage(%)","discount_rate_distribution(total_amount)","discount_rate_distribution(%)"
"0%","49","3.35%"
"2%","2","0.14%"
"3%","3","0.20%"
"4%","4","0.27%"
"5%","4","0.27%"
"6%","4","0.27%"
"7%","2","0.14%"
"8%","5","0.34%"
"9%","1","0.07%"
"10%","10","0.68%"
"11%","8","0.55%"
"12%","5","0.34%"
"13%","9","0.61%"
"14%","11","0.75%"
"15%","9","0.61%"
"16%","7","0.48%"
"17%","11","0.75%"
"18%","12","0.82%"
"19%","9","0.61%"
"20%","14","0.96%"
"21%","14","0.96%"
"22%","15","1.02%"
"23%","11","0.75%"
"24%","14","0.96%"
"25%","23","1.57%"
"26%","14","0.96%"
"27%","15","1.02%"
"28%","30","2.05%"
"29%","16","1.09%"
"30%","12","0.82%"
"31%","14","0.96%"
"32%","12","0.82%"
"33%","22","1.50%"
"34%","9","0.61%"
"35%","18","1.23%"
"36%","10","0.68%"
"37%","14","0.96%"
"38%","34","2.32%"
"39%","13","0.89%"
"40%","28","1.91%"
"41%","21","1.43%"
"42%","20","1.37%"
"43%","32","2.19%"
"44%","23","1.57%"
"45%","18","1.23%"
"46%","21","1.43%"
"47%","21","1.43%"
"48%","25","1.71%"
"49%","15","1.02%"
"50%","56","3.83%"
"51%","17","1.16%"
"52%","13","0.89%"
"53%","28","1.91%"
"54%","22","1.50%"
"55%","36","2.46%"
"56%","17","1.16%"
"57%","22","1.50%"
"58%","23","1.57%"
"59%","22","1.50%"
"60%","56","3.83%"
"61%","20","1.37%"
"62%","32","2.19%"
"63%","27","1.84%"
"64%","21","1.43%"
"65%","31","2.12%"
"66%","22","1.50%"
"67%","12","0.82%"
"68%","10","0.68%"
"69%","17","1.16%"
"70%","28","1.91%"
"71%","10","0.68%"
"72%","5","0.34%"
"73%","16","1.09%"
"74%","9","0.61%"
"75%","29","1.98%"
"76%","14","0.96%"
"77%","17","1.16%"
"78%","15","1.02%"
"79%","8","0.55%"
"80%","37","2.53%"
"81%","7","0.48%"
"82%","5","0.34%"
"83%","5","0.34%"
"84%","2","0.14%"
"85%","12","0.82%"
"86%","4","0.27%"
"87%","3","0.20%"
"88%","6","0.41%"
"89%","1","0.07%"
"90%","8","0.55%"
"91%","5","0.34%"
"94%","1","0.07%"
