"category_main","category_sub","(0,1]","(1,2]","(2,3]","(3,4]","(4,5]","sum","(4,5](%)"
"Car&Motorbike","CarAccessories","0","0","0","1","0","1","0.00%"
"Computers&Accessories","Accessories&Peripherals","0","0","1","122","258","381","67.72%"
"Computers&Accessories","NetworkingDevices","0","0","0","7","27","34","79.41%"
"Computers&Accessories","ExternalDevices&DataStorage","0","0","0","0","18","18","100.00%"
"Computers&Accessories","Printers,Inks&Accessories","0","0","0","6","5","11","45.45%"
"Computers&Accessories","Components","0","0","0","0","5","5","100.00%"
"Computers&Accessories","Monitors","0","0","0","0","2","2","100.00%"
"Computers&Accessories","Laptops","0","0","0","1","0","1","0.00%"
"Computers&Accessories","Tablets","0","0","0","0","1","1","100.00%"
"Electronics","HomeTheater,TV&Video","0","0","1","57","104","162","64.20%"
"Electronics","Mobiles&Accessories","0","0","0","55","106","161","65.84%"
"Electronics","WearableTechnology","0","0","2","29","45","76","59.21%"
"Electronics","Headphones,Earbuds&Accessories","0","0","0","38","28","66","42.42%"
"Electronics","Cameras&Photography","0","0","0","5","11","16","68.75%"
"Electronics","HomeAudio","0","0","0","7","9","16","56.25%"
"Electronics","Accessories","0","0","0","2","12","14","85.71%"
"Electronics","GeneralPurposeBatteries&BatteryChargers","0","0","0","1","13","14","92.86%"
"Electronics","PowerAccessories","0","0","0","0","1","1","100.00%"
"Health&PersonalCare","HomeMedicalSupplies&Equipment","0","0","0","1","0","1","0.00%"
"Home&Kitchen","Kitchen&HomeAppliances","0","0","5","126","176","307","57.33%"
"Home&Kitchen","Heating,Cooling&AirQuality","0","1","0","54","61","116","52.59%"
"Home&Kitchen","HomeStorage&Organization","0","0","0","8","8","16","50.00%"
"Home&Kitchen","CraftMaterials","0","0","0","1","6","7","85.71%"
"Home&Kitchen","Kitchen&Dining","0","0","0","0","1","1","100.00%"
"HomeImprovement","Electrical","0","0","0","1","1","2","50.00%"
"MusicalInstruments","Microphones","0","0","0","2","0","2","0.00%"
"OfficeProducts","OfficePaperProducts","0","0","0","1","26","27","96.30%"
"OfficeProducts","OfficeElectronics","0","0","0","0","4","4","100.00%"
"Toys&Games","Arts&Crafts","0","0","0","0","1","1","100.00%"
