"Country","Before_2020","2020","2021","2022","2023","Company_Joined_Starts_2020"
"Canada","0","1","15","4","1","21"
"Mexico","0","1","5","2","0","8"
"Ireland","0","1","2","3","0","6"
"Norway","0","0","2","2","0","4"
"Turkey","0","0","2","1","0","3"
"Thailand","0","0","2","1","0","3"
"Seychelles","0","0","0","1","1","2"
"Denmark","0","0","2","0","0","2"
"Austria","0","0","2","0","0","2"
"Vietnam","0","0","2","0","0","2"
"Greece","0","0","1","1","0","2"
"Croatia","0","1","0","1","0","2"
"Chile","0","0","1","1","0","2"
"Italy","0","0","0","2","0","2"
"Argentina","0","0","1","0","0","1"
"Nigeria","0","0","1","0","0","1"
"Senegal","0","0","1","0","0","1"
"Malaysia","0","0","1","0","0","1"
"Ecuador","0","0","0","1","0","1"
"Czech Republic","0","0","1","0","0","1"
"Egypt","0","0","0","0","1","1"
"Liechtenstein","0","0","0","1","0","1"
"London","0","0","0","1","0","1"
