"Country","Company_Joined_Starts_2020","Total_Valuation_Starts_2020($B)","Average_Valuation_Starts_2020($B)","Higest_Valuation_Starts_2020($B)","Lowest_Valuation_Starts_2020($B)"
"United States","543","1,241.13","2.29","9.20","1.00"
"China","66","145.37","2.20","6.51","1.00"
"India","58","130.68","2.25","7.50","1.00"
"United Kingdom","36","85.60","2.38","7.75","1.00"
"Canada","21","52.23","2.49","7.60","1.00"
"Israel","22","51.59","2.34","8.00","1.00"
"France","19","46.67","2.46","5.70","1.00"
"Germany","22","40.53","1.84","8.50","1.00"
"Indonesia","7","27.43","3.92","20.00","1.00"
"Brazil","11","26.98","2.45","5.05","1.00"
"Netherlands","6","21.46","3.58","6.50","1.00"
"Singapore","13","20.91","1.61","3.50","1.00"
"Mexico","8","18.70","2.34","8.70","1.00"
"Turkey","3","13.55","4.52","8.80","2.00"
"South Korea","7","13.49","1.93","3.30","1.00"
"Seychelles","2","11.80","5.90","10.00","1.80"
"Finland","3","11.46","3.82","5.70","2.55"
"Ireland","6","10.05","1.67","4.00","1.00"
"Australia","6","9.90","1.65","2.50","1.00"
"Austria","2","7.61","3.80","4.11","3.50"
"Sweden","5","6.84","1.37","2.00","1.00"
"Switzerland","3","6.80","2.27","4.70","1.00"
"Denmark","2","6.70","3.35","4.70","2.00"
"Japan","5","5.82","1.16","1.60","1.00"
"Spain","4","5.75","1.44","2.35","1.00"
"Vietnam","2","5.27","2.64","3.00","2.27"
"Belgium","2","4.83","2.42","3.43","1.40"
"Norway","4","4.50","1.12","1.50","1.00"
"Thailand","3","3.50","1.17","1.50","1.00"
"Greece","2","3.32","1.66","2.05","1.27"
"Croatia","2","3.00","1.50","2.00","1.00"
"United Arab Emirates","2","2.55","1.27","1.55","1.00"
"Chile","2","2.50","1.25","1.50","1.00"
"Argentina","1","2.45","2.45","2.45","2.45"
"Nigeria","1","2.00","2.00","2.00","2.00"
"Italy","2","2.00","1.00","1.00","1.00"
"Senegal","1","1.70","1.70","1.70","1.70"
"Malaysia","1","1.70","1.70","1.70","1.70"
"Lithuania","1","1.60","1.60","1.60","1.60"
"Ecuador","1","1.50","1.50","1.50","1.50"
"Estonia","1","1.50","1.50","1.50","1.50"
"Czech Republic","1","1.20","1.20","1.20","1.20"
"Egypt","1","1.00","1.00","1.00","1.00"
"Liechtenstein","1","1.00","1.00","1.00","1.00"
"London","1","1.00","1.00","1.00","1.00"
"Colombia","1","1.00","1.00","1.00","1.00"
